Corpus,System,Segment_ID,Rater_ID,Fluency,Adequacy,Register_Appropriateness
TED,HT,1,1,4,4,4
TED,HT,1,2,4,4,4
TED,HT,1,3,4,4,4
TED,HT,2,1,4,4,4
TED,HT,2,2,4,4,4
TED,HT,2,3,4,4,5
TED,HT,3,1,4,4,4
TED,HT,3,2,4,4,4
TED,HT,3,3,4,4,4
TED,HT,4,1,4,4,4
TED,HT,4,2,4,4,4
TED,HT,4,3,4,4,5
TED,HT,5,1,4,4,4
TED,HT,5,2,4,4,4
TED,HT,5,3,4,4,4
TED,HT,6,1,4,4,4
TED,HT,6,2,4,4,4
TED,HT,6,3,4,4,4
TED,HT,7,1,4,4,4
TED,HT,7,2,4,4,4
TED,HT,7,3,4,4,4
TED,HT,8,1,4,4,4
TED,HT,8,2,4,4,4
TED,HT,8,3,4,4,4
TED,HT,9,1,4,4,4
TED,HT,9,2,4,4,4
TED,HT,9,3,4,4,4
TED,HT,10,1,4,4,4
TED,HT,10,2,4,4,4
TED,HT,10,3,4,4,4
TED,HT,11,1,4,4,4
TED,HT,11,2,4,4,4
TED,HT,11,3,4,4,4
TED,HT,12,1,4,4,4
TED,HT,12,2,4,4,4
TED,HT,12,3,5,4,4
TED,HT,13,1,4,4,4
TED,HT,13,2,5,4,4
TED,HT,13,3,4,4,4
TED,HT,14,1,4,4,4
TED,HT,14,2,4,4,4
TED,HT,14,3,4,4,4
TED,HT,15,1,4,4,4
TED,HT,15,2,4,4,4
TED,HT,15,3,4,4,4
TED,HT,16,1,4,4,4
TED,HT,16,2,4,4,4
TED,HT,16,3,4,4,4
TED,HT,17,1,4,4,4
TED,HT,17,2,4,4,4
TED,HT,17,3,4,4,4
TED,HT,18,1,5,4,4
TED,HT,18,2,4,4,4
TED,HT,18,3,4,4,4
TED,HT,19,1,4,4,4
TED,HT,19,2,4,4,4
TED,HT,19,3,4,4,4
TED,HT,20,1,4,4,4
TED,HT,20,2,4,4,4
TED,HT,20,3,4,4,4
TED,DeepL,1,1,4,4,4
TED,DeepL,1,2,4,4,4
TED,DeepL,1,3,4,4,4
TED,DeepL,2,1,4,4,4
TED,DeepL,2,2,4,4,4
TED,DeepL,2,3,4,4,4
TED,DeepL,3,1,4,4,4
TED,DeepL,3,2,4,4,4
TED,DeepL,3,3,5,4,4
TED,DeepL,4,1,4,4,4
TED,DeepL,4,2,4,4,4
TED,DeepL,4,3,4,4,4
TED,DeepL,5,1,4,4,4
TED,DeepL,5,2,4,4,4
TED,DeepL,5,3,4,4,3
TED,DeepL,6,1,4,5,4
TED,DeepL,6,2,4,4,4
TED,DeepL,6,3,4,4,4
TED,DeepL,7,1,4,4,3
TED,DeepL,7,2,4,4,4
TED,DeepL,7,3,4,4,4
TED,DeepL,8,1,4,4,4
TED,DeepL,8,2,4,4,4
TED,DeepL,8,3,4,4,4
TED,DeepL,9,1,4,4,3
TED,DeepL,9,2,4,4,4
TED,DeepL,9,3,4,4,4
TED,DeepL,10,1,4,4,4
TED,DeepL,10,2,4,4,4
TED,DeepL,10,3,4,4,4
TED,DeepL,11,1,5,4,4
TED,DeepL,11,2,4,4,4
TED,DeepL,11,3,4,4,3
TED,DeepL,12,1,4,4,3
TED,DeepL,12,2,4,4,4
TED,DeepL,12,3,4,4,4
TED,DeepL,13,1,4,4,3
